event_id,category,type,URL,IP,domain,HASH,comment,attribute_tag
10549,Network activity,domain,,,teslal.xyz,,,
10549,Network activity,domain,,,youtu-be.net,,,
10549,Network activity,domain,,,youtubewatch.co,,,
10549,Network activity,domain,,,yuom7.net,,,
10549,Network activity,domain,,,weathear.live,,,
10549,Network activity,domain,,,mlinks.ws,,,
10549,Network activity,domain,,,networkenterprise.net,,,
10549,Network activity,domain,,,orchomenos.news,,,
10549,Network activity,domain,,,ilnk.xyz,,,
10549,Network activity,domain,,,addons.news,,,
10549,Network activity,domain,,,msas.ws,,,
10549,Network activity,domain,,,businesnews.net,,,
10549,Network activity,domain,,,itter.me,,,
10549,Network activity,domain,,,bit-ly.org,,,
10549,Network activity,domain,,,2y4nothing.xyz,,,
10549,Network activity,domain,,,mifcbook.link,,,
10549,Network activity,domain,,,mitube1.link,,,
10549,Network activity,domain,,,olexegy.com,,,
10549,Network activity,domain,,,lexpress.me,,,
10549,Network activity,domain,,,koora-egypt.com,,,
10549,Network activity,domain,,,bookjob.club,,,
10549,Network activity,domain,,,icloudflair.com,,,
10549,Network activity,domain,,,zougla.news,,,
10549,Network activity,domain,,,bityl.me,,,
10549,Network activity,domain,,,url-promo.club,,,
10549,Network activity,domain,,,bitlinkin.xyz,,,
10549,Network activity,domain,,,md-news-direct.com,,,
10549,Network activity,domain,,,connectivitycheck.online,,,
10549,Network activity,domain,,,mycoffeeshop.shop,,,
10549,Network activity,domain,,,instagam.click,,,
10549,Network activity,domain,,,mozillaupdate.xyz,,,
10549,Network activity,domain,,,bit-li.com,,,
10549,Network activity,domain,,,ancienthistory.xyz,,,
10549,Network activity,domain,,,youarefired.xyz,,,
10549,Network activity,domain,,,wtc1111.com,,,
10549,Network activity,domain,,,burgerprince.us,,,
10549,Network activity,domain,,,limk.one,,,
10549,Network activity,domain,,,lylink.online,,,
10549,Network activity,domain,,,invoker.icu,,,
10549,Network activity,domain,,,supportset.net,,,
10549,Network activity,domain,,,hempower.shop,,,
10549,Network activity,domain,,,engine.ninja,,,
10549,Network activity,domain,,,fastdownload.me,,,
10549,Network activity,domain,,,sniper.pet,,,
10549,Network activity,domain,,,fastuploads.xyz,,,
10549,Network activity,domain,,,stonisi.news,,,
10549,Network activity,domain,,,newslive2.xyz,,,
10549,Network activity,domain,,,speedy.sbs,,,
10549,Network activity,domain,,,ewish.cards,,,
10549,Network activity,domain,,,download4you.xyz,,,
10549,Network activity,domain,,,tovima.live,,,
10549,Network activity,domain,,,timeupdate.xyz,,,
10549,Network activity,domain,,,crashonline.site,,,
10549,Network activity,domain,,,dragonair.xyz,,,
10549,Network activity,domain,,,efsyn.online,,,
10549,Network activity,domain,,,livingwithbadkidny.xyz,,,
10549,Network activity,domain,,,api-apple-buy.com,,,
10549,Network activity,domain,,,shorten.fi,,,
10549,Network activity,domain,,,getsignalapps.com,,,
10549,Network activity,domain,,,altsantiri.news,,,
10549,Network activity,domain,,,goldenscint.com,,,
10549,Network activity,domain,,,goldescent.com,,,
10549,Network activity,domain,,,serviceupdaterequest.com,,,
10549,Network activity,domain,,,qwert.xyz,,,
10549,Network activity,domain,,,bit-ly.link,,,
10549,Network activity,domain,,,quickupdates.xyz,,,
10549,Network activity,domain,,,itcgr.live,,,
10549,Network activity,domain,,,tinylinks.live,,,
10549,Network activity,domain,,,fireup.xyz,,,
10549,Network activity,domain,,,mobnetlink3.com,,,
10549,Network activity,domain,,,shortmee.one,,,
10549,Network activity,domain,,,fbc8213450838f7ae251d4519c195138.xyz,,,
10549,Network activity,domain,,,synctimestamp.com,,,
10549,Network activity,domain,,,tsrt.xyz,,,
10549,Network activity,domain,,,smsuns.com,,,
10549,Network activity,domain,,,updatetime.zone,,,
10549,Network activity,domain,,,proupload.xyz,,,
10549,Network activity,domain,,,teslali.com,,,
10549,Network activity,domain,,,speedygonzales.xyz,,,
10549,Network activity,domain,,,leanwithme.xyz,,,
10549,Network activity,domain,,,alpineai.uk,,,
10549,Network activity,domain,,,timeupdateservice.com,,,
10549,Network activity,domain,,,kathimerini.news,,,
10549,Network activity,domain,,,simetricode.uk,,,
10549,Network activity,domain,,,lamborghini-s.shop,,,
10549,Network activity,domain,,,api-telecommunication.com,,,
10549,Network activity,domain,,,mobnetlink2.com,,,
10549,Network activity,domain,,,tinyurl.cloud,,,
10549,Network activity,domain,,,mywebsitevpstest.xyz,,,
10549,Network activity,domain,,,blacktrail.xyz,,,
10549,Network activity,domain,,,shortenurls.me,,,
10549,Network activity,domain,,,ereportaz.news,,,
10549,Network activity,domain,,,timestampsync.com,,,
10549,Network activity,domain,,,eagerfox.xyz,,,
10549,Network activity,domain,,,sextape225.me,,,
10549,Network activity,domain,,,tesla-s.shop,,,
10549,Network activity,domain,,,heiiasjournai.com,,,
10549,Network activity,domain,,,llinkedin.net,,,
10549,Network activity,domain,,,updates4you.xyz,,,
10549,Network activity,domain,,,guardnews.live,,,
10549,Network activity,domain,,,enikos.news,,,
10549,Network activity,domain,,,youtube.voto,,,
10549,Network activity,domain,,,hellottec.art,,,
10549,Network activity,domain,,,otaupdatesios.com,,,
10549,Network activity,domain,,,getsignalapps.live,,,
10549,Network activity,domain,,,connectivitycheck.live,,,
10549,Network activity,domain,,,symoty.com,,,
10549,Network activity,domain,,,protothema.live,,,
10549,Network activity,domain,,,speedymax.shop,,,
10549,Network activity,domain,,,telecomegy-ads.com,,,
10549,Network activity,domain,,,itly.link,,,
10549,Network activity,domain,,,enigmase.xyz,,,
10549,Network activity,domain,,,redirecting.page,,,
10549,Network activity,domain,,,tsapp.me,,,
10549,Network activity,domain,,,nemshi-news.live,,,
10549,Network activity,domain,,,conlnk.one,,,
10549,Network activity,domain,,,linkit.cloud,,,
10549,Network activity,domain,,,edolio5.com,,,
10549,Network activity,domain,,,elpais.me,,,
10549,Network activity,domain,,,guardnew.live,,,
10549,Network activity,domain,,,redirecting.live,,,
10000,Network activity,domain,,,mgeeky.tech,,,
10000,Network activity,domain,,,ukrtatnafta.com,,,
10000,Network activity,domain,,,ukrtatnafta.org,,,
10031,Network activity,domain,,,abhishekmeena.in,,,
10031,Network activity,domain,,,agtendelperu.com,,,
10031,Network activity,domain,,,capitalperurrhh.com,,,
10031,Network activity,domain,,,centerkick.com,,,
10031,Network activity,domain,,,chimpcity.com,,,
10031,Network activity,domain,,,cica.com.co,,,
10031,Network activity,domain,,,graficalevi.com.br,,,
10031,Network activity,domain,,,kmphi.com,,,
10031,Network activity,domain,,,propertynear.co.uk,,,
10031,Network activity,domain,,,rosewoodlaminates.com,,,
10031,Network activity,domain,,,theshirtsummit.com,,,
10042,Network activity,domain,,,abhishekmeena.in,,,
10042,Network activity,domain,,,agtendelperu.com,,,
10042,Network activity,domain,,,capitalperurrhh.com,,,
10042,Network activity,domain,,,centerkick.com,,,
10042,Network activity,domain,,,chimpcity.com,,,
10042,Network activity,domain,,,cica.com.co,,,
10042,Network activity,domain,,,graficalevi.com.br,,,
10042,Network activity,domain,,,kmphi.com,,,
10042,Network activity,domain,,,propertynear.co.uk,,,
10042,Network activity,domain,,,rosewoodlaminates.com,,,
10042,Network activity,domain,,,theshirtsummit.com,,,
10063,Network activity,domain,,,cloud-drive.store,,,
10063,Network activity,domain,,,drive-phone.online,,,
10063,Network activity,domain,,,phone-drive.online,,,
10064,Network activity,domain,,,mgeeky.tech,,,
10064,Network activity,domain,,,ukrtatnafta.com,,,
10064,Network activity,domain,,,ukrtatnafta.org,,,
10207,Network activity,domain,,,all-free-software.online,,,Activity Indicator
10207,Network activity,domain,,,allfreesoftware.online,,,Activity Indicator
10207,Network activity,domain,,,chatgptex.us,,,Activity Indicator
10207,Network activity,domain,,,cv-builder.site,,,Activity Indicator
10207,Network activity,domain,,,jobseeker.com,,,Activity Indicator
10207,Network activity,domain,,,siamaster.com.mx,,,Activity Indicator
10208,Network activity,domain,,,es-megadom.com,,,Activity Indicator
10208,Network activity,domain,,,upperdunk.com,,,Activity Indicator
10255,Network activity,domain,,,chatgpt4beta.com,,,
10255,Network activity,domain,,,cpcpipe.com,,,
10255,Network activity,domain,,,cpcpipe.org,,,
10255,Network activity,domain,,,masterofdigital.org,,,
10255,Network activity,domain,,,meta-l.space,,,
10255,Network activity,domain,,,passport-log.online,,,
10255,Network activity,domain,,,passport-ua.site,,,
10256,Network activity,domain,,,justiceukraine.com,,,
10294,Network activity,domain,,,cutty.ly,,,
10297,Network activity,domain,,,chat-gpt-online-pc.com,,,
10297,Network activity,domain,,,chatgpt.jobs,,,
10297,Network activity,domain,,,chatgptforchrome.com,,,
10297,Network activity,domain,,,openai.us,,,
10297,Network activity,domain,,,openai.xyz,,,
10297,Network activity,domain,,,x2chatgpt.org,,,
10302,Network activity,domain,,,anydeskupdate.com,,,Activity Indicator
10302,Network activity,domain,,,anydeskupdates.com,,,Activity Indicator
10302,Network activity,domain,,,netviewremote.com,,,Activity Indicator
10302,Network activity,domain,,,updateservicecenter.com,,,Activity Indicator
10302,Network activity,domain,,,windowcsupdates.com,,,Activity Indicator
10302,Network activity,domain,,,windowservicecemter.com,,,Activity Indicator
10302,Network activity,domain,,,windowservicecentar.com,,,Activity Indicator
10302,Network activity,domain,,,windowservicecenter.com,,,Activity Indicator
10302,Network activity,domain,,,winserverupdates.com,,,Activity Indicator
10304,Network activity,domain,,,justiceukraine.com,,,
10324,Network activity,domain,,,evilextracom.com,,,Activity Indicator
10324,Network activity,domain,,,evilextractor.com,,,Activity Indicator
10325,Network activity,domain,,,ads-tm-glb.click,,,Activity Indicator
10325,Network activity,domain,,,allowlisted.net,,,Activity Indicator
10325,Network activity,domain,,,atlas-upd.com,,,Activity Indicator
10325,Network activity,domain,,,claudfront.ml,,,Activity Indicator
10325,Network activity,domain,,,claudfront.net,,,Activity Indicator
10325,Network activity,domain,,,dongtaiwang.com,,,Activity Indicator
10325,Network activity,domain,,,hsdps.cc,,,Activity Indicator
10325,Network activity,domain,,,wmssh.com,,,Activity Indicator
10326,Network activity,domain,,,anam0rph.su,,,Activity Indicator
10326,Network activity,domain,,,crane.mn,,,Activity Indicator
10336,Network activity,domain,,,all-free-software.online,,,
10336,Network activity,domain,,,allfreesoftware.online,,,
10336,Network activity,domain,,,chatgptex.us,,,
10336,Network activity,domain,,,cv-builder.site,,,
10336,Network activity,domain,,,siamaster.com.mx,,,
10340,Network activity,domain,,,mail-updateservice.info,,,
10340,Network activity,domain,,,maill-support.com,,,
10340,Network activity,domain,,,mailupdate.com,,,
10340,Network activity,domain,,,mailupdate.info,,,
10340,Network activity,domain,,,msn-center.uk,,,
10340,Network activity,domain,,,msn-service.co,,,
10340,Network activity,domain,,,twittsupport.com,,,
10343,Network activity,domain,,,saspecialforces.co.za,,,Activity Indicator
10352,Network activity,domain,,,ads-tm-glb.click,,,
10352,Network activity,domain,,,allowlisted.net,,,
10352,Network activity,domain,,,atlas-upd.com,,,
10352,Network activity,domain,,,claudfront.ml,,,
10352,Network activity,domain,,,claudfront.net,,,
10352,Network activity,domain,,,hsdps.cc,,,
10352,Network activity,domain,,,wmssh.com,,,
10357,Network activity,domain,,,daichetmob.sbs,,,
10357,Network activity,domain,,,genlytec.us,,,
10357,Network activity,domain,,,interytec.shop,,,
10357,Network activity,domain,,,pyatiticdigt.shop,,,
10357,Network activity,domain,,,shumtech.shop,,,
10357,Network activity,domain,,,stacstocuh.quest,,,
10357,Network activity,domain,,,zapolmob.sbs,,,
10366,Network activity,domain,,,informatify.net,,,
10366,Network activity,domain,,,playtime74.com,,,
10366,Network activity,domain,,,ciso2ciso.com,,,
10375,Network activity,domain,,,mwgq.net,,,Activity Indicator
10375,Network activity,domain,,,eznb.net,,,Activity Indicator
10375,Network activity,domain,,,o7car.com,,,Activity Indicator
10375,Network activity,domain,,,qji6.com,,,Activity Indicator
10375,Network activity,domain,,,li1iv.com,,,Activity Indicator
10375,Network activity,domain,,,bcomb.net,,,Activity Indicator
10376,Network activity,domain,,,evnpowerspeedtest.com,,,
10377,Network activity,domain,,,1877.team,,,
10377,Network activity,domain,,,buhgdkurd444.ga,,,
10377,Network activity,domain,,,1877.krd,,,
10377,Network activity,domain,,,4567987654345265.tk,,,
10377,Network activity,domain,,,asadohostma.cf,,,
10377,Network activity,domain,,,asadohostma.tk,,,
10377,Network activity,domain,,,balotelaras.gq,,,
10377,Network activity,domain,,,bjigcdrfbbcx.ml,,,
10377,Network activity,domain,,,bjigcdrfbbcx.tk,,,
10377,Network activity,domain,,,bruthoosbxyxio.gq,,,
10377,Network activity,domain,,,bsidbxiooohzu.ga,,,
10377,Network activity,domain,,,bsidbxiooohzu.gq,,,
10377,Network activity,domain,,,bsidbxiooohzu.ml,,,
10377,Network activity,domain,,,coalermallwive.ga,,,
10377,Network activity,domain,,,forever0g.tk,,,
10377,Network activity,domain,,,ghiiidueebsxiis.ml,,,
10377,Network activity,domain,,,ghiiidueebsxiis.tk,,,
10377,Network activity,domain,,,hsushzidooonsnx.gq,,,
10377,Network activity,domain,,,htetryfugyioiyut.ml,,,
10377,Network activity,domain,,,huncho.ml,,,
10377,Network activity,domain,,,jfueytg7yghg.ga,,,
10377,Network activity,domain,,,jihugkyfjtdsrytsrd.cf,,,
10377,Network activity,domain,,,jihugkyfjtdsrytsrd.gq,,,
10377,Network activity,domain,,,makolo.ml,,,
10377,Network activity,domain,,,oiuryhgyefdter.gq,,,
10377,Network activity,domain,,,salogo.gq,,,
10377,Network activity,domain,,,steetdre6iazwed.tk,,,
10377,Network activity,domain,,,stiwebbro.ml,,,
10377,Network activity,domain,,,stupuviijvftuiu.cf,,,
10377,Network activity,domain,,,tgfr43e98uj43ef.ml,,,
10377,Network activity,domain,,,torontos.ga,,,
10377,Network activity,domain,,,unconditional.gq,,,
